Symbol,Name,LastSale,NetChange,Change,MarketCap,Volume,Sector,Industry,
NAOV,NanoVibronix Inc. Common Stock,$0.705,-0.0153,-2.124%,19702489,109848,Health Care,Industrial Specialties,
NARI,Inari Medical Inc. Common Stock,$76.07,0.28,0.369%,3850454512,626353,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,
NATH,Nathan's Famous Inc. Common Stock,$57.14,0.22,0.387%,235139900,8633,Consumer Services,Restaurants,
NATI,National Instruments Corporation Common Stock,$37.60,0.81,2.202%,4964203168,334675,Technology,Computer Software: Prepackaged Software,
NATR,Nature's Sunshine Products Inc. Common Stock,$16.98,-0.12,-0.702%,330245039,56640,Consumer Non-Durables,Farming/Seeds/Milling,
NAUT,Nautilus Biotechnolgy Inc. Common Stock,$3.67,0.09,2.514%,456643137,118347,Health Care,Biotechnology: Pharmaceutical Preparations,
NAVI,Navient Corporation Common Stock,$16.70,0.23,1.396%,2540619463,2245394,Finance,Finance: Consumer Services,
NBEV,NewAge Inc. Common Stock (Delaware),$0.56,-0.0039,-0.692%,82215138,495883,Consumer Non-Durables,Beverages (Production/Distribution),
NBIX,Neurocrine Biosciences Inc. Common Stock,$91.06,1.06,1.178%,8672798714,678941,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
NBN,Northeast Bank Common Stock,$35.20,0.24,0.686%,274802880,29729,Finance,Major Banks,
NBSE,NeuBase Therapeutics Inc.  Common Stock,$1.45,0.02,1.399%,47513867,88023,Health Care,Biotechnology: Pharmaceutical Preparations,
NBST,Newbury Street Acquisition Corporation Common Stock,$9.74,0,0.00%,162285932,5,,,
NBSTW,Newbury Street Acquisition Corporation Warrants,$0.295,0.0891,43.273%,0,200,,,
NBTB,NBT Bancorp Inc. Common Stock,$38.45,-0.28,-0.723%,1659954057,150844,Finance,Major Banks,
NCAC,Newcourt Acquisition Corp Class A Ordinary Share,$9.97,-0.01,-0.10%,325769750,106735,,,
NCACU,Newcourt Acquisition Corp Unit,$10.06,0.04,0.399%,328710500,95375,,,
NCACW,Newcourt Acquisition Corp Warrant,$0.23,-0.01,-4.167%,0,14750,,,
NCBS,Nicolet Bankshares Inc. Common Stock,$95.35,-1.38,-1.427%,1290383564,41717,Finance,Major Banks,
NCMI,National CineMedia Inc. Common Stock,$2.53,0.04,1.606%,205275854,501486,Technology,Advertising,
NCNO,nCino Inc. Common Stock,$38.71,-0.01,-0.026%,3745170319,2174628,Technology,Computer Software: Prepackaged Software,
NCSM,NCS Multistage Holdings Inc. Common Stock,$52.65,0.3502,0.67%,126662527,21988,Energy,Oilfield Services/Equipment,
NDAC,NightDragon Acquisition Corp. Class A Common stock,$9.72,-0.01,-0.103%,429235200,6151,,,
NDACU,NightDragon Acquisition Corp. SCALE Units,$9.81,0.005,0.051%,0,270,,,
NDACW,NightDragon Acquisition Corp. Warrants to purchase Class A common stock,$0.4752,0.0152,3.304%,0,3310,,,
NDAQ,Nasdaq Inc. Common Stock,$169.58,3,1.801%,27881006292,706796,Finance,Investment Bankers/Brokers/Service,
NDLS,Noodles & Company Class A Common Stock,$6.26,0.09,1.459%,286113557,223346,Consumer Services,Restaurants,
NDRA,ENDRA Life Sciences Inc. Common Stock,$0.39,-0.02,-4.878%,16444633,182357,Health Care,Medical Specialities,
NDRAW,ENDRA Life Sciences Inc. Warrants,$0.024,0.0041,20.603%,0,12221,Health Care,Medical Specialities,
NDSN,Nordson Corporation Common Stock,$219.14,4.58,2.135%,12697096510,152478,Capital Goods,Industrial Machinery/Components,
NECB,NorthEast Community Bancorp Inc. Common Stock,$11.92,0,0.00%,195224997,23131,Finance,Savings Institutions,
NEO,NeoGenomics Inc. Common Stock,$14.87,0.64,4.498%,1844263140,1901850,Health Care,Precision Instruments,
NEOG,Neogen Corporation Common Stock,$34.21,0.83,2.487%,3686265982,267408,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,
NEPH,Nephros Inc. Common Stock,$3.89,-0.08,-2.015%,39905347,54124,Health Care,Medical/Dental Instruments,
NERV,Minerva Neurosciences Inc Common Stock,$0.67,0.012,1.824%,28623449,35764,Health Care,Biotechnology: Pharmaceutical Preparations,
NESR,National Energy Services Reunited Corp. Ordinary Shares,$8.55,-0.67,-7.267%,781138559,272207,Energy,Oilfield Services/Equipment,
NESRW,National Energy Services Reunited Corp. Warrant,$1.10,-0.11,-9.091%,0,12882,Finance,Business Services,
NEWT,Newtek Business Services Corp. Common Stock (Maryland),$27.32,0,0.00%,660015520,177718,Finance,Finance/Investors Services,
NEWTL,Newtek Business Services Corp. 5.75% Notes due 2024,$25.35,0.05,0.198%,0,1087,Finance,Finance/Investors Services,
NEWTZ,Newtek Business Services Corp. 5.50% Notes Due 2026,$25.44,-0.01,-0.039%,0,2972,,,
NEXI,NexImmune Inc. Common Stock,$1.92,0.1,5.495%,43856244,93468,Health Care,Biotechnology: Pharmaceutical Preparations,
NEXT,NextDecade Corporation Common Stock,$3.31,0,0.00%,409876108,310099,Energy,Oil & Gas Production,
NFBK,Northfield Bancorp Inc. Common Stock (Delaware),$15.25,-0.05,-0.327%,746263889,136294,Finance,Major Banks,
NFE,New Fortress Energy Inc. Class A Common Stock,$28.27,-0.32,-1.119%,5848023851,1208353,Public Utilities,Oil/Gas Transmission,
NFLX,Netflix Inc. Common Stock,$343.75,12.74,3.849%,152612318031,5458515,Consumer Services,Movies/Entertainment,
NGM,NGM Biopharmaceuticals Inc. Common Stock,$13.81,-0.34,-2.403%,1077861385,294964,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),
NH,NantHealth Inc. Common Stock,$0.8286,0.0186,2.296%,95720074,36819,Health Care,Managed Health Care,
NHIC,NewHold Investment Corp. II Class A Common Stock,$9.77,0,0.00%,0,2,,,
NHICU,NewHold Investment Corp. II Unit,$9.74,-0.04,-0.409%,0,2060,,,
NHICW,NewHold Investment Corp. II Warrant,$0.3498,-0.0001,-0.029%,0,3431,,,
NHTC,Natural Health Trends Corp. Common Stock,$7.01,0.05,0.718%,80071998,17031,Miscellaneous,Diversified Commercial Services,
NICK,Nicholas Financial Inc. Common Stock,$11.40,0.07,0.618%,86640000,2977,,,
NKLA,Nikola Corporation Common Stock,$7.31,0.44,6.405%,3024956831,14862497,Capital Goods,Industrial Machinery/Components,
NKSH,National Bankshares Inc. Common Stock,$36.61,-0.09,-0.245%,222000734,3478,Finance,Major Banks,
NKTR,Nektar Therapeutics  Common Stock,$4.48,0.32,7.692%,834508219,8881021,Health Care,Biotechnology: Pharmaceutical Preparations,
NKTX,Nkarta Inc. Common Stock,$9.62,0.18,1.907%,316973372,130570,Health Care,Biotechnology: Pharmaceutical Preparations,
